iShares Russell 2000 ETF
Fund Holdings as of,"Apr 23, 2026"
Inception Date,"May 22, 2000"
Shares Outstanding,"276,700,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"RHP","RYMAN HOSPITALITY PROPERTIES REIT","Real Estate","Equity","144,039,649.32","0.19","144,039,649.32","1,431,948.00","100.59","United States","NYSE","USD","1.00","USD","-"
"SWX","SOUTHWEST GAS HOLDINGS INC","Utilities","Equity","143,190,983.46","0.19","143,190,983.46","1,582,046.00","90.51","United States","NYSE","USD","1.00","USD","-"
"NE","NOBLE CORPORATION PLC","Energy","Equity","142,897,899.46","0.19","142,897,899.46","2,919,859.00","48.94","United States","NYSE","USD","1.00","USD","-"
"UBSI","UNITED BANKSHARES INC","Financials","Equity","142,561,718.80","0.19","142,561,718.80","3,246,680.00","43.91","United States","NASDAQ","USD","1.00","USD","-"
"TMHC","TAYLOR MORRISON HOME CORP","Consumer Discretionary","Equity","142,461,808.51","0.19","142,461,808.51","2,214,547.00","64.33","United States","NYSE","USD","1.00","USD","-"
"PIPR","PIPER SANDLER COMPANIES","Financials","Equity","141,756,273.12","0.19","141,756,273.12","1,614,904.00","87.78","United States","NYSE","USD","1.00","USD","-"
"NPO","ENPRO INC","Industrials","Equity","141,103,972.38","0.19","141,103,972.38","488,621.00","288.78","United States","NYSE","USD","1.00","USD","-"
"BTSG","BRIGHTSPRING HEALTH SERVICES INC","Health Care","Equity","140,863,727.20","0.19","140,863,727.20","2,984,401.00","47.20","United States","NASDAQ","USD","1.00","USD","-"
"SSRM","SSR MINING INC","Materials","Equity","140,563,769.40","0.19","140,563,769.40","4,709,004.00","29.85","Canada","NASDAQ","USD","1.00","USD","-"
"CIFR","CIPHER DIGITAL INC","Information Technology","Equity","140,414,437.59","0.19","140,414,437.59","7,512,811.00","18.69","United States","NASDAQ","USD","1.00","USD","-"
"CORZ","CORE SCIENTIFIC INC","Information Technology","Equity","139,976,009.42","0.19","139,976,009.42","6,726,382.00","20.81","United States","NASDAQ","USD","1.00","USD","-"
"ESNT","ESSENT GROUP LTD","Financials","Equity","138,828,072.30","0.18","138,828,072.30","2,150,706.00","64.55","United States","NYSE","USD","1.00","USD","-"
"VICR","VICOR CORP","Industrials","Equity","138,322,306.59","0.18","138,322,306.59","531,743.00","260.13","United States","NASDAQ","USD","1.00","USD","-"
"PTGX","PROTAGONIST THERAPEUTICS INC","Health Care","Equity","138,062,382.50","0.18","138,062,382.50","1,345,375.00","102.62","United States","NASDAQ","USD","1.00","USD","-"
"TXNM","TXNM ENERGY INC","Utilities","Equity","136,774,744.00","0.18","136,774,744.00","2,318,216.00","59.00","United States","NYSE","USD","1.00","USD","-"
"ACA","ARCOSA INC","Industrials","Equity","135,099,569.50","0.18","135,099,569.50","1,124,050.00","120.19","United States","NYSE","USD","1.00","USD","-"
"POR","PORTLAND GENERAL ELECTRIC","Utilities","Equity","134,918,839.07","0.18","134,918,839.07","2,623,349.00","51.43","United States","NYSE","USD","1.00","USD","-"
"HWC","HANCOCK WHITNEY CORP","Financials","Equity","134,525,324.18","0.18","134,525,324.18","1,960,439.00","68.62","United States","NASDAQ","USD","1.00","USD","-"
"ROAD","CONSTRUCTION PARTNERS INC CLASS A","Industrials","Equity","134,002,453.41","0.18","134,002,453.41","1,100,817.00","121.73","United States","NASDAQ","USD","1.00","USD","-"
"HIMS","HIMS HERS HEALTH INC CLASS A","Health Care","Equity","133,520,714.05","0.18","133,520,714.05","4,743,187.00","28.15","United States","NYSE","USD","1.00","USD","-"
"BCPC","BALCHEM CORP","Materials","Equity","133,113,329.15","0.18","133,113,329.15","754,055.00","176.53","United States","NASDAQ","USD","1.00","USD","-"
"NJR","NEW JERSEY RESOURCES CORP","Utilities","Equity","132,090,728.50","0.17","132,090,728.50","2,337,889.00","56.50","United States","NYSE","USD","1.00","USD","-"
"KRG","KITE REALTY GROUP TRUST REIT","Real Estate","Equity","131,995,787.30","0.17","131,995,787.30","5,070,910.00","26.03","United States","NYSE","USD","1.00","USD","-"
"BKH","BLACK HILLS CORP","Utilities","Equity","131,110,588.89","0.17","131,110,588.89","1,755,867.00","74.67","United States","NYSE","USD","1.00","USD","-"
"VAL","VALARIS LTD","Energy","Equity","130,362,901.05","0.17","130,362,901.05","1,443,185.00","90.33","United States","NYSE","USD","1.00","USD","-"
"RIG","TRANSOCEAN LTD","Energy","Equity","130,148,662.62","0.17","130,148,662.62","21,476,677.00","6.06","United States","NYSE","USD","1.00","USD","-"
"UFPI","UFP INDUSTRIES INC","Industrials","Equity","129,925,081.44","0.17","129,925,081.44","1,346,653.00","96.48","United States","NASDAQ","USD","1.00","USD","-"
"MAC","MACERICH REIT","Real Estate","Equity","128,066,634.07","0.17","128,066,634.07","5,981,627.00","21.41","United States","NYSE","USD","1.00","USD","-"
"ABCB","AMERIS BANCORP","Financials","Equity","127,423,842.32","0.17","127,423,842.32","1,505,836.00","84.62","United States","NYSE","USD","1.00","USD","-"
"RGTI","RIGETTI COMPUTING INC","Information Technology","Equity","127,312,405.86","0.17","127,312,405.86","7,551,151.00","16.86","United States","NASDAQ","USD","1.00","USD","-"
"ALKS","ALKERMES","Health Care","Equity","127,198,376.78","0.17","127,198,376.78","3,751,058.00","33.91","United States","NASDAQ","USD","1.00","USD","-"
"AX","AXOS FINANCIAL INC","Financials","Equity","126,881,534.28","0.17","126,881,534.28","1,299,084.00","97.67","United States","NYSE","USD","1.00","USD","-"
"LNTH","LANTHEUS HOLDINGS INC","Health Care","Equity","125,185,742.80","0.17","125,185,742.80","1,511,540.00","82.82","United States","NASDAQ","USD","1.00","USD","-"
"KGS","KODIAK GAS SERVICES INC","Energy","Equity","125,042,187.76","0.17","125,042,187.76","1,929,068.00","64.82","United States","NYSE","USD","1.00","USD","-"
"NUVL","NUVALENT INC CLASS A","Health Care","Equity","124,977,087.62","0.17","124,977,087.62","1,156,981.00","108.02","United States","NASDAQ","USD","1.00","USD","-"
"PTCT","PTC THERAPEUTICS INC","Health Care","Equity","124,741,409.27","0.16","124,741,409.27","1,818,653.00","68.59","United States","NASDAQ","USD","1.00","USD","-"
"GVA","GRANITE CONSTRUCTION INC","Industrials","Equity","124,087,488.84","0.16","124,087,488.84","1,012,298.00","122.58","United States","NYSE","USD","1.00","USD","-"
"MGY","MAGNOLIA OIL GAS CORP CLASS A","Energy","Equity","123,989,853.16","0.16","123,989,853.16","4,186,018.00","29.62","United States","NYSE","USD","1.00","USD","-"
"MUR","MURPHY OIL CORP","Energy","Equity","123,934,596.56","0.16","123,934,596.56","3,132,826.00","39.56","United States","NYSE","USD","1.00","USD","-"
"TGTX","TG THERAPEUTICS INC","Health Care","Equity","123,887,792.08","0.16","123,887,792.08","3,355,574.00","36.92","United States","NASDAQ","USD","1.00","USD","-"
"SR","SPIRE INC","Utilities","Equity","123,602,694.60","0.16","123,602,694.60","1,353,660.00","91.31","United States","NYSE","USD","1.00","USD","-"
"OGS","ONE GAS INC","Utilities","Equity","123,397,436.12","0.16","123,397,436.12","1,390,237.00","88.76","United States","NYSE","USD","1.00","USD","-"
"AUB","ATLANTIC UNION BANKSHARES CORP","Financials","Equity","123,165,154.53","0.16","123,165,154.53","3,248,883.00","37.91","United States","NYSE","USD","1.00","USD","-"
"IESC","IES INC","Industrials","Equity","122,630,867.19","0.16","122,630,867.19","209,207.00","586.17","United States","NASDAQ","USD","1.00","USD","-"
"CNX","CNX RESOURCES CORP","Energy","Equity","122,485,164.12","0.16","122,485,164.12","3,179,781.00","38.52","United States","NYSE","USD","1.00","USD","-"
"MATX","MATSON INC","Industrials","Equity","121,750,840.48","0.16","121,750,840.48","714,668.00","170.36","United States","NYSE","USD","1.00","USD","-"
"CWST","CASELLA WASTE SYSTEMS INC CLASS A","Industrials","Equity","121,462,463.01","0.16","121,462,463.01","1,448,223.00","83.87","United States","NASDAQ","USD","1.00","USD","-"
"REZI","RESIDEO TECHNOLOGIES INC","Industrials","Equity","121,413,369.47","0.16","121,413,369.47","2,988,269.00","40.63","United States","NYSE","USD","1.00","USD","-"
"HASI","HA SUSTAINABLE INFRASTRUCTURE CAPI","Financials","Equity","121,074,116.76","0.16","121,074,116.76","2,890,977.00","41.88","United States","NYSE","USD","1.00","USD","-"
"MYRG","MYR GROUP INC","Industrials","Equity","120,992,151.60","0.16","120,992,151.60","357,912.00","338.05","United States","NASDAQ","USD","1.00","USD","-"
"BDC","BELDEN INC","Information Technology","Equity","119,893,952.36","0.16","119,893,952.36","905,954.00","132.34","United States","NYSE","USD","1.00","USD","-"
"COGT","COGENT BIOSCIENCES INC","Health Care","Equity","119,487,332.90","0.16","119,487,332.90","3,306,235.00","36.14","United States","NASDAQ","USD","1.00","USD","-"
"SYRE","SPYRE THERAPEUTICS INC","Health Care","Equity","119,433,114.60","0.16","119,433,114.60","1,724,915.00","69.24","United States","NASDAQ","USD","1.00","USD","-"
"UUUU","ENERGY FUELS INC","Energy","Equity","118,935,367.60","0.16","118,935,367.60","5,428,360.00","21.91","Canada","Nyse Mkt Llc","USD","1.00","USD","-"
"GLNG","GOLAR LNG LTD","Energy","Equity","118,608,019.08","0.16","118,608,019.08","2,251,481.00","52.68","Norway","NASDAQ","USD","1.00","USD","-"
"LBRT","LIBERTY ENERGY INC CLASS A","Energy","Equity","118,185,578.24","0.16","118,185,578.24","3,656,732.00","32.32","United States","NYSE","USD","1.00","USD","-"
"SIGI","SELECTIVE INSURANCE GROUP INC","Financials","Equity","118,171,236.70","0.16","118,171,236.70","1,400,465.00","84.38","United States","NASDAQ","USD","1.00","USD","-"
"HOMB","HOME BANCSHARES INC","Financials","Equity","117,271,871.46","0.16","117,271,871.46","4,372,553.00","26.82","United States","NYSE","USD","1.00","USD","-"
"TERN","TERNS PHARMACEUTICALS INC","Health Care","Equity","116,930,223.90","0.15","116,930,223.90","2,213,330.00","52.83","United States","NASDAQ","USD","1.00","USD","-"
"KNF","KNIFE RIVER CORP","Materials","Equity","116,812,305.90","0.15","116,812,305.90","1,322,154.00","88.35","United States","NYSE","USD","1.00","USD","-"
"ATMU","ATMUS FILTRATION TECHNOLOGIES INC","Industrials","Equity","116,573,304.15","0.15","116,573,304.15","1,900,755.00","61.33","United States","NYSE","USD","1.00","USD","-"
"CRSP","CRISPR THERAPEUTICS AG","Health Care","Equity","116,379,144.76","0.15","116,379,144.76","2,109,082.00","55.18","United States","NASDAQ","USD","1.00","USD","-"
"BOOT","BOOT BARN HOLDINGS INC","Consumer Discretionary","Equity","116,021,888.78","0.15","116,021,888.78","710,962.00","163.19","United States","NYSE","USD","1.00","USD","-"
"COMP","COMPASS INC CLASS A","Real Estate","Equity","115,839,286.45","0.15","115,839,286.45","14,870,255.00","7.79","United States","NYSE","USD","1.00","USD","-"
"KYMR","KYMERA THERAPEUTICS INC","Health Care","Equity","115,492,230.36","0.15","115,492,230.36","1,324,908.00","87.17","United States","NASDAQ","USD","1.00","USD","-"
"JOBY","JOBY AVIATION INC CLASS A","Industrials","Equity","114,891,425.91","0.15","114,891,425.91","13,532,559.00","8.49","United States","NYSE","USD","1.00","USD","-"
"PECO","PHILLIPS EDISON AND COMPANY INC","Real Estate","Equity","114,680,312.32","0.15","114,680,312.32","2,937,508.00","39.04","United States","NASDAQ","USD","1.00","USD","-"
"SBRA","SABRA HEALTH CARE REIT INC","Real Estate","Equity","114,475,392.13","0.15","114,475,392.13","5,749,643.00","19.91","United States","NASDAQ","USD","1.00","USD","-"
"VSEC","VSE CORP","Industrials","Equity","114,398,111.39","0.15","114,398,111.39","622,507.00","183.77","United States","NASDAQ","USD","1.00","USD","-"
"RDN","RADIAN GROUP INC","Financials","Equity","112,965,655.44","0.15","112,965,655.44","3,140,552.00","35.97","United States","NYSE","USD","1.00","USD","-"
"BIPC","BROOKFIELD INFRASTRUCTURE CORP CLA","Utilities","Equity","112,562,035.60","0.15","112,562,035.60","2,786,189.00","40.40","Canada","NYSE","USD","1.00","USD","-"
"URBN","URBAN OUTFITTERS INC","Consumer Discretionary","Equity","111,362,698.30","0.15","111,362,698.30","1,507,958.00","73.85","United States","NASDAQ","USD","1.00","USD","-"
"NOVT","NOVANTA INC","Information Technology","Equity","110,957,435.82","0.15","110,957,435.82","834,141.00","133.02","United States","NASDAQ","USD","1.00","USD","-"
"CRC","CALIFORNIA RESOURCES CORP","Energy","Equity","110,835,691.46","0.15","110,835,691.46","1,698,371.00","65.26","United States","NYSE","USD","1.00","USD","-"
"XENE","XENON PHARMACEUTICALS INC","Health Care","Equity","110,565,335.64","0.15","110,565,335.64","1,995,404.00","55.41","United States","NASDAQ","USD","1.00","USD","-"
